"","COUNTY","DATE","Housing & Shelter","Food","Utilities","Healthcare & COVID-19","Mental Health & Addictions","Employment & Income","Clothing & Household","Child Care & Parenting","Government & Legal","Transportation Assistance","Education","Disaster","Other","Total for top requests","(Housing & Shelter) Shelters","(Housing & Shelter) Low-cost housing","(Housing & Shelter) Home repair/ maintenance","(Housing & Shelter) Rent assistance","(Housing & Shelter) Mortgage assistance","(Housing & Shelter) Landlord/ tenant issues","(Housing & Shelter) Contacts","(Housing & Shelter) Other housing & shelter","(Food) Help buying food","(Food) Food pantries","(Food) Soup kitchens & Meals to-go","(Food) Feeding children","(Food) Home-delivered meals","(Food) Holiday meals","(Food) Contacts","(Food) Other food","(Utilities) Electric","(Utilities) Gas","(Utilities) Water","(Utilities) Heating fuel","(Utilities) Utility payment plans","(Utilities) Phone/internet","(Utilities) Contacts","(Utilities) Other utilities","(Healthcare & COVID-19) Health insurance","(Healthcare & COVID-19) Medical expense assistance","(Healthcare & COVID-19) Medical providers","(Healthcare & COVID-19) Dental & eye care","(Healthcare & COVID-19) Prescription medications","(Healthcare & COVID-19) Nursing homes & adult care","(Healthcare & COVID-19) Death related","(Healthcare & COVID-19) Public health & safety","(Healthcare & COVID-19) COVID testing","(Healthcare & COVID-19) COVID vaccination","(Healthcare & COVID-19) All other COVID","(Healthcare & COVID-19) Other health services","(Healthcare & COVID-19) Contacts","(Healthcare & COVID-19) Other healthcare","(Mental Health & Addictions) Substance abuse & addictions","(Mental Health & Addictions) Marriage & family","(Mental Health & Addictions) Crisis intervention & suicide","(Mental Health & Addictions) Mental health services","(Mental Health & Addictions) Mental health facilities","(Mental Health & Addictions) Other mental health & addictions","(Employment & Income) Job search","(Employment & Income) Job development","(Employment & Income) Unemployment benefits","(Employment & Income) Tax preparation","(Employment & Income) Financial assistance","(Employment & Income) Money management","(Employment & Income) Contacts","(Employment & Income) Other employment & income","(Clothing & Household) Clothing","(Clothing & Household) Personal hygiene products","(Clothing & Household) Appliances","(Clothing & Household) Home furnishings","(Clothing & Household) Thrift shops","(Clothing & Household) Seasonal/ holiday","(Clothing & Household) Contacts","(Clothing & Household) Other clothing & household","(Child Care & Parenting) Child care","(Child Care & Parenting) Parenting","(Child Care & Parenting) Family support services","(Child Care & Parenting) Other child care & parenting","(Government & Legal) Legal assistance","(Government & Legal) Child & family law","(Government & Legal) Immigration assistance","(Government & Legal) Government","(Government & Legal) Contacts","(Government & Legal) Other government & legal","(Transportation Assistance) Medical transportation","(Transportation Assistance) Public transportation","(Transportation Assistance) Automobile assistance","(Transportation Assistance) Long-distance travel","(Transportation Assistance) Ride share services","(Transportation Assistance) Bike programs","(Transportation Assistance) Contacts","(Transportation Assistance) Other transportation assistance","(Education) Early childhood education","(Education) Adult education","(Education) Literacy","(Education) ESL/ citizenship","(Education) Tutoring","(Education) School supplies","(Education) Scholarships & aid","(Education) Other education providers","(Education) Contacts","(Education) Other education","(Disaster) Food/ water","(Disaster) Housing/ shelter","(Disaster) Transportation/ fuel","(Disaster) Health/ safety","(Disaster) Financial assistance","(Disaster) Disaster relief services","(Disaster) Contacts","(Disaster) Other disaster","(Other) Agency & other contact information","(Other) Community development & enrichment","(Other) Volunteering & donations","(Other) Support & advocacy","(Other) Complaints","(Other) Special population services","(Other) Special populations","(Other) All other requests"
"1","Dodge","Aug 1, 2019-Aug 31, 2019",21,6,6,4,6,1,2,0,3,2,2,1,5,59,4,4,0,10,1,2,0,0,1,5,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0
"2","Columbia","Nov 1, 2019-Nov 30, 2019",2,5,2,5,3,0,0,0,1,0,0,0,6,24,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,3
"3","Bayfield","Jun 1, 2020-Jun 30, 2020",1,0,1,4,6,0,0,0,0,0,0,0,1,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"4","Buffalo","Mar 1, 2021-Mar 31, 2021",7,0,1,12,3,1,0,0,0,2,0,0,1,27,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,5,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"5","Waupaca","Apr 1, 2021-Apr 30, 2021",15,2,1,42,6,2,3,0,3,1,0,1,5,81,2,5,2,5,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,23,2,4,10,0,4,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,1,0,1
"6","Oneida","Feb 1, 2020-Feb 29, 2020",7,2,1,3,4,3,2,1,3,2,0,0,8,36,1,0,3,1,2,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,3
"7","Manitowoc","Sep 1, 2021-Sep 30, 2021",50,2,5,20,3,6,2,0,8,6,1,2,13,118,16,12,4,16,0,2,0,0,0,1,1,0,0,0,0,0,3,0,1,0,0,1,0,0,2,2,1,0,0,1,0,0,2,1,5,3,3,0,1,0,1,1,0,0,4,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,5,0,0,1,1,0,0,6
"8","Grant","Apr 1, 2021-Apr 30, 2021",6,0,2,33,3,3,4,0,4,0,0,2,7,64,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,3,0,0,2,5,1,1,19,0,0,0,1,2,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,1,0,0,1,0,1
"9","Oconto","Nov 1, 2020-Nov 30, 2020",6,0,1,15,4,2,1,0,1,2,0,0,2,34,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,0,1,0,1,9,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"10","Milwaukee","Jun 1, 2020-Jun 30, 2020",2791,1224,326,1657,2281,407,343,25,746,42,5,184,958,10989,843,584,222,910,15,210,5,2,177,854,118,19,37,0,1,18,264,16,1,10,3,21,6,5,67,13,132,38,5,197,9,63,361,0,640,128,3,1,309,2,562,1398,10,0,38,2,70,190,75,10,9,13,56,20,133,129,4,0,0,1,15,9,1,0,94,84,0,327,236,5,8,17,8,3,3,0,0,3,0,0,0,0,0,1,1,3,0,0,0,6,1,4,148,0,3,22,658,25,52,25,18,95,4,81
"11","Calumet","Mar 1, 2020-Mar 31, 2020",29,19,10,23,11,13,6,2,12,7,1,1,33,167,3,3,3,19,1,0,0,0,2,16,0,0,1,0,0,0,9,0,0,0,0,1,0,0,1,1,6,0,1,4,0,0,0,0,10,0,0,0,0,1,1,9,0,0,3,0,2,4,4,0,0,0,1,1,0,2,2,0,0,0,1,1,0,0,4,1,0,1,6,0,1,4,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,14,4,2,1,0,1,0,11
"12","Menominee","Oct 1, 2019-Oct 31, 2019",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","Oneida","Aug 1, 2020-Aug 31, 2020",19,2,1,47,7,4,2,0,3,4,3,1,7,100,3,7,1,7,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,20,0,16,6,0,0,6,0,0,1,0,0,0,0,1,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,3,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2,0,2,0,0,1,0,2
"14","Wood","May 1, 2021-May 31, 2021",31,5,4,18,17,4,3,1,10,8,14,0,8,123,7,5,1,18,0,0,0,0,4,1,0,0,0,0,0,0,2,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,3,1,1,11,0,12,0,2,3,0,0,0,0,2,2,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,3,7,0,1,0,6,0,0,0,0,1,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0
"15","Shawano","Jan 1, 2021-Jan 31, 2021",17,0,2,13,6,7,1,0,0,0,0,0,6,52,2,3,2,10,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,4,0,0,6,1,0,0,0,0,0,0,4,2,0,0,4,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1
"16","Menominee","Jan 1, 2020-Jan 31, 2020",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","Milwaukee","Apr 1, 2021-Apr 30, 2021",5444,782,1069,2045,2980,630,398,55,1029,82,15,190,1660,16379,1745,1527,270,1527,76,283,9,7,170,516,54,2,36,0,0,4,796,167,19,15,10,38,10,14,94,24,92,65,10,339,18,7,112,413,85,84,701,1,451,8,753,1731,35,2,45,5,23,431,73,8,40,5,66,19,138,169,2,4,0,0,24,30,1,0,159,138,5,340,378,9,29,33,11,1,0,0,0,8,0,1,0,0,3,0,4,7,0,0,0,0,0,3,175,0,1,11,1209,32,66,29,40,125,1,158
"18","Washburn","May 1, 2021-May 31, 2021",3,0,0,46,2,0,0,0,0,1,0,0,2,54,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,18,0,1,22,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"19","Vernon","May 1, 2021-May 31, 2021",4,0,1,12,24,5,0,1,2,0,0,2,4,55,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,2,0,1,6,0,8,0,8,8,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,1,0,1
"20","Buffalo","Dec 1, 2020-Dec 31, 2020",0,0,0,2,1,0,1,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","Sheboygan","Jul 1, 2020-Jul 31, 2020",55,8,8,79,3,5,4,2,4,2,0,3,14,187,9,12,6,24,3,1,0,0,4,4,0,0,0,0,0,0,7,0,0,0,0,1,0,0,1,1,0,1,1,3,0,4,50,0,7,11,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,1,2,0,0,2,0,0,0,0,2,0,0,0,1,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,4,2,3,0,1,1,0,3
"22","Outagamie","Jul 1, 2020-Jul 31, 2020",90,18,19,84,52,28,9,2,35,9,4,3,37,390,22,28,4,29,3,3,1,0,5,12,0,0,1,0,0,0,14,0,4,0,0,0,1,0,4,4,4,2,1,9,1,1,29,0,14,15,0,0,10,1,10,31,0,0,3,0,9,7,8,0,0,1,3,2,0,2,2,0,0,0,2,0,0,0,10,2,1,5,17,0,2,4,2,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,2,0,0,0,24,4,0,1,1,0,0,7
"23","Price","Mar 1, 2020-Mar 31, 2020",2,2,4,5,1,1,0,0,1,0,0,0,3,19,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
