Entity Type,EntityID,EntityName,Inc/OrgDate,EntityStatus,StatusDate,RegAgentofficeCity
2,N051411,"#1 A LIFESAFER DISTRIBUTION, INC.",11/13/19,INC,11/13/19,MADISON
1,N024571,"#1 A LIFESAFER OF WISCONSIN, INC.",11/28/95,IGS,10/14/19,MADISON
12,N042402,#BEMADISON LLC,10/16/13,ADS,4/24/18,MADISON
12,N047607,#DOBETTER LLC,8/23/17,DLQ,7/1/19,MADISON
6,E047252,"(""EVERY WOMAN NEEDS A MARGARET"") - EWNAM, INC.",6/4/15,ADS,6/10/19,MADISON
6,6F03562,"(4) FOUR LAKES AMATEUR RADIO CLUB, INC.",4/9/51,IGS,4/24/18,MADISON
1,S072218,"(SHOO), INC.",9/7/05,DLQ,7/1/20,MADISON
2,N048247,.NET IT SYSTEMS INC.,1/23/18,INC,10/15/19,MADISON
12,A077258,@ NAIL AND SPA LLC,10/30/15,DLQ,10/1/19,MADISON
12,A079478,@YABOYEEDALTON LLC,7/18/16,DLQ,7/1/19,MADISON
12,Z005440,007 NAILS SPA LLC,5/10/15,IGS,4/17/19,MADISON
12,O034228,"1 HEALTH SOLUTIONS, LLC",2/20/18,ORG,2/20/18,MADISON
13,O037012,1 LAYER TECHNOLOGIES LLC,3/4/20,RGD,3/4/20,MADISON
6,O035124,"1 VIZION, INC.",10/16/18,INC,10/16/18,MADISON
12,O034387,1&1 CLEANING SERVICES LLC,3/25/18,ORG,3/25/18,MADISON
12,O028996,10 - 12 BAHR CIRCLE LLC,5/9/13,DLQ,4/1/20,MADISON
6,O035016,"10 NEWTONS WOMEN'S WELLNESS FOUNDATION, INC.",9/14/18,INC,9/14/18,MADISON
6,O017235,"100 BLACK MEN OF MADISON, INC.",1/31/95,IGS,1/29/19,MADISON
6,H051338,"100 MEN OF DANE COUNTY, INC.",7/13/12,IGS,2/1/18,MADISON
12,O029415,100 MILE SAUCE CO LLC,10/15/13,IGS,11/29/19,MADISON
12,O035973,"100 SOUTH FIRST, LLC",5/23/19,ORG,5/23/19,MADISON
6,O021583,"100 WISCONSIN AVENUE CONDOMINIUM OWNERS ASSOCIATION, INC.",2/16/04,IGS,3/29/19,MADISON
12,O037473,100% PLATINUM CONSULTING LLC,7/3/20,ORG,7/3/20,MADISON
12,O031337,"1000 EAST STREET, LLC",10/15/15,DIS,4/2/18,MADISON
13,O035683,1000 W. NORTHLAND AVE LLC,3/18/19,RGD,3/18/19,MADISON
12,O027475,1001 BUILDING LLC,9/8/11,IGS,7/20/18,MADISON
12,O021625,1004 ASSOCIATES LLC,3/5/04,IGS,2/4/18,MADISON
12,O029640,"1008 WAUGOO AVENUE, LLC",1/16/14,DIS,1/27/20,MADISON
6,O029102,100STATE INC.,6/27/13,IGS,5/7/20,MADISON
12,O036642,"101 DEMPSEY ROAD, LLC",12/2/19,ORG,12/2/19,MADISON
12,O025585,"101 OSTHOFF, LLC",3/10/09,IGS,4/3/19,MADISON
12,O024904,"101 SOUTH MILLS, LLC",4/15/08,ADS,6/10/19,MADISON
12,O022336,1010 ANN STREET LLC,2/10/05,IGS,3/1/18,MADISON
12,O030451,"1010 WISCONSIN DELLS PARKWAY SOUTH LAKE DELTON, WI LLC",11/12/14,IGS,10/17/19,MADISON
12,O032331,1011 NORTH WISCONSIN STREET OWNER LLC,8/23/16,DLQ,7/1/20,MADISON
12,O028673,1014 S. LAKE SHORE DRIVE LLC,1/16/13,DIS,4/13/18,MADISON
12,O033223,"1016 COLAN BLVD, LLC",5/10/17,IGS,5/3/19,MADISON
12,O033628,102 PRAIRIE HEIGHTS LLC,9/13/17,DIS,5/13/18,MADISON
12,O032774,1021-23 N. 24TH ST. LLC,1/4/17,IGS,1/22/20,MADISON
12,O035987,"1024 MAIN STREET, LLC",5/30/19,ORG,5/30/19,MADISON
12,O033361,1028 ERIN ST LLC,6/30/17,DIS,1/6/20,MADISON
12,O034343,103 LIBERTY STREET LLC,3/15/18,ORG,3/15/18,MADISON
12,O034695,103 S RIDGE STREET LLC,6/18/18,DLQ,4/1/20,MADISON
13,O034722,"1031X, LLC",6/25/18,RGD,6/25/18,MADISON
12,O034618,10330 PROPERTIES LLC,6/4/18,ORG,6/4/18,MADISON
12,O020465,"1040 QUINN DRIVE, LLC",5/20/02,IGS,5/18/19,MADISON
12,O028158,1041 SOUTH PARK LLC,6/17/12,IGS,8/16/19,MADISON
12,O036651,105 N MAIN STREET LLC,12/3/19,ORG,12/3/19,MADISON
12,O035578,"1050 COMMERCIAL, LLC",2/22/19,ORG,2/22/19,MADISON
6,O035432,"1050 CONDOMINIUM OWNER'S ASSOCIATION, INC.",1/15/19,INC,1/15/19,MADISON
12,O035431,"1050 EAST WASH, LLC",1/15/19,ORG,1/15/19,MADISON
12,O035537,"1050 OZ A, LLC",2/11/19,ORG,2/11/19,MADISON
12,O035538,"1050 OZ B, LLC",2/11/19,ORG,2/11/19,MADISON
12,O035577,"1050 RESIDENTIAL, LLC",2/22/19,ORG,2/22/19,MADISON
12,O021628,1060 ASSOCIATES LLC,3/5/04,IGS,1/21/20,MADISON
1,O036562,1060 ROCHESTER ENTERPRISES INC.,11/5/19,INC,11/5/19,MADISON
12,O036564,1060 ROCHESTER STREET REAL ESTATE LLC,11/5/19,ORG,11/5/19,MADISON
